date,net_PnL,num_trades,exit_reasons,CumulativePnL,winning_trades,losing_trades
2024-12-27,3757.499999999994,3,"{'StopLoss': 2, 'Exit': 1}",3757.499999999994,3,0
2024-12-30,-4600.00000000001,7,"{'StopLoss': 6, 'Exit': 1}",-842.5000000000159,1,6
2024-12-31,-4565.000000000006,5,"{'StopLoss': 4, 'Exit': 1}",-5407.500000000022,1,4
2025-01-01,-2601.2500000000073,4,"{'StopLoss': 3, 'Exit': 1}",-8008.750000000029,1,3
2025-01-02,936.2499999999891,5,"{'StopLoss': 4, 'TakeProfit': 1}",-7072.50000000004,2,3
2025-01-03,2571.2499999999973,2,"{'StopLoss': 1, 'Exit': 1}",-4501.250000000043,1,1
2025-01-06,-10195.000000000015,10,"{'StopLoss': 9, 'Exit': 1}",-14696.250000000058,3,7
2025-01-07,6529.999999999998,1,{'Exit': 1},-8166.25000000006,1,0
2025-01-08,1946.2499999999925,6,"{'StopLoss': 5, 'Exit': 1}",-6220.000000000067,3,3
2025-01-09,2237.4999999999995,2,"{'StopLoss': 1, 'TakeProfit': 1}",-3982.5000000000678,1,1
